INFO     | 2018-08-13 11:23:11,136 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-08-13 11:23:11,142 | config     | Setting 'alignment' to 'matK.phy'
INFO     | 2018-08-13 11:23:11,143 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-08-13 11:23:11,143 | parser     | You set 'models' to: all
INFO     | 2018-08-13 11:23:11,193 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2018-08-13 11:23:11,194 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2018-08-13 11:23:11,194 | config     | Setting 'model_selection' to 'aicc'
ERROR    | 2018-08-13 11:23:11,194 | parser     | There was a problem loading your .cfg file, please check and try again
ERROR    | 2018-08-13 11:23:11,195 | parser     | Expected W:(ABCD...) (at char 191), (line:15, col:1)
INFO     | 2018-08-13 11:23:11,195 | parser     | The line causing the problem is this: '[schemes]'. Please check that line, and make sure it appears in the right place in the config file. If it looks OK, try double-checking the semi-colons on other lines
ERROR    | 2018-08-13 11:23:11,195 | main       | Failed to run. See previous errors.
INFO     | 2018-08-13 11:28:01,747 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-08-13 11:28:01,753 | config     | Setting 'alignment' to 'matK.phy'
INFO     | 2018-08-13 11:28:01,753 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-08-13 11:28:01,753 | parser     | You set 'models' to: all
INFO     | 2018-08-13 11:28:01,769 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2018-08-13 11:28:01,769 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2018-08-13 11:28:01,769 | config     | Setting 'model_selection' to 'aicc'
ERROR    | 2018-08-13 11:28:01,770 | parser     | There was a problem loading your .cfg file, please check and try again
ERROR    | 2018-08-13 11:28:01,770 | parser     | Expected ";" (at char 205), (line:16, col:1)
INFO     | 2018-08-13 11:28:01,770 | parser     | The line causing the problem is this: '[schemes]'. Please check that line, and make sure it appears in the right place in the config file. If it looks OK, try double-checking the semi-colons on other lines
ERROR    | 2018-08-13 11:28:01,770 | main       | Failed to run. See previous errors.
INFO     | 2018-08-13 11:30:57,963 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-08-13 11:30:57,969 | config     | Setting 'alignment' to 'matK.phy'
INFO     | 2018-08-13 11:30:57,970 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-08-13 11:30:57,970 | parser     | You set 'models' to: all
INFO     | 2018-08-13 11:30:58,030 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2018-08-13 11:30:58,030 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2018-08-13 11:30:58,034 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2018-08-13 11:30:58,036 | config     | Setting 'search' to 'greedy'
INFO     | 2018-08-13 11:30:58,037 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2018-08-13 11:30:58,037 | config     | Looking for alignment file './matK.phy'...
INFO     | 2018-08-13 11:30:58,037 | threadpool | Using 16 cpus
INFO     | 2018-08-13 11:30:58,037 | analysis   | Beginning Analysis
INFO     | 2018-08-13 11:30:58,056 | alignment  | Reading alignment file './matK.phy'
ERROR    | 2018-08-13 11:30:58,065 | alignment  | Line 2: Line should be species and bases separated by whitespace
ERROR    | 2018-08-13 11:30:58,072 | main       | Failed to run. See previous errors.
INFO     | 2018-08-13 11:33:32,532 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2018-08-13 11:33:32,539 | config     | Setting 'alignment' to 'matK.phy'
INFO     | 2018-08-13 11:33:32,539 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2018-08-13 11:33:32,540 | parser     | You set 'models' to: all
INFO     | 2018-08-13 11:33:32,555 | model_load | This analysis will use the following 56 models of molecular evolution
