"Sample","Latitute","Longitude","Species"
"JT19",35.0168,-83.3882,"A.appalachiana"
"JT20",34.9576,-83.1806,"A.appalachiana"
"JT21",35.3898,-83.1981,"A.appalachiana"
"JT99",34.5005,-85.6352,"A.appalachiana"
"JT100",34.4973,-85.6337,"A.appalachiana"
"JT165",35.0421,-84.4514,"A.appalachiana"
"JT166",34.2456,-84.6753,"A.appalachiana"
"JT179",35.0851,-82.608,"A.appalachiana"
"JT182",35.5673,-82.5683,"A.appalachiana"
"JT184",35.4469,-83.4251,"A.appalachiana"
"JT185",35.3827,-83.8623,"A.appalachiana"
"JT188",35.7418,-84.8392,"A.appalachiana"
"JT1",30.6512,-84.8721,"A.gigantea"
"JT2",30.6512,-84.8721,"A.gigantea"
"JT3",30.6995,-84.8607,"A.gigantea"
"JT4",30.757,-84.7857,"A.gigantea"
"JT5",30.6977,-84.8497,"A.gigantea"
"JT6",32.5426,-84.0184,"A.gigantea"
"JT18",35.1861,-83.3723,"A.gigantea"
"JT80",36.2421,-92.7667,"A.gigantea"
"JT81",35.4109,-93.1328,"A.gigantea"
"JT82",34.8698,-93.1093,"A.gigantea"
"JT83",34.3074,-92.2163,"A.gigantea"
"JT84",33.9545,-91.8439,"A.gigantea"
"JT85",33.2695,-93.272,"A.gigantea"
"JT86",32.5054,-92.8744,"A.gigantea"
"JT87",30.8003,-92.281,"A.gigantea"
"JT88",30.2937,-91.918,"A.gigantea"
"JT91",32.204,-90.0513,"A.gigantea"
"JT92",32.2818,-90.183,"A.gigantea"
"JT93",33.8065,-89.7415,"A.gigantea"
"JT94",33.6364,-89.7963,"A.gigantea"
"JT95",33.5419,-88.6345,"A.gigantea"
"JT96",33.1146,-87.596,"A.gigantea"
"JT98",32.5669,-85.3772,"A.gigantea"
"JT101",36.4599,-85.9938,"A.gigantea"
"JT108",37.627,-89.2087,"A.gigantea"
"JT109",37.1209,-89.2737,"A.gigantea"
"JT110",36.8565,-88.3156,"A.gigantea"
"JT111",35.6638,-87.6908,"A.gigantea"
"JT112",35.2119,-88.3949,"A.gigantea"
"JT164",35.0775,-85.0394,"A.gigantea"
"JT167",34.149,-84.8443,"A.gigantea"
"JT169",33.724,-83.3849,"A.gigantea"
"JT174",34.1586,-81.946,"A.gigantea"
"JT177",35.1234,-81.588,"A.gigantea"
"JT180",35.4644,-82.4586,"A.gigantea"
"JT181",35.5634,-82.5622,"A.gigantea"
"JT183",35.4337,-83.4388,"A.gigantea"
"JT186",35.4501,-83.9407,"A.gigantea"
"JT187",35.565,-84.0933,"A.gigantea"
"JT189",36.3145,-84.6271,"A.gigantea"
"JT190",37.1932,-85.3459,"A.gigantea"
"JT191",37.8083,-84.6568,"A.gigantea"
"JT192",37.8448,-84.5836,"A.gigantea"
"JT195",38.073,-84.5363,"A.gigantea"
"JT197",38.7679,-85.1451,"A.gigantea"
"JT198",38.3477,-87.8024,"A.gigantea"
"JT291",36.2436,-92.7694,"A.gigantea"
"JT22",35.4195,-78.0506,"A.tecta"
"JT23",35.1078,-77.0153,"A.tecta"
"JT24",35.2603,-77.1011,"A.tecta"
"JT25",36.599,-76.5282,"A.tecta"
"JT26",36.6214,-76.5403,"A.tecta"
"JT27",31.999,-81.2682,"A.tecta"
"JT170",33.4122,-82.3818,"A.tecta"
"JT173",33.646,-81.2143,"A.tecta"
"JT8",32.4894,-83.9378,"A. hybrid"
"JT89",30.7114,-89.5553,"A. hybrid"
"JT90",31.4156,-89.2806,"A. hybrid"
"JT97",32.5451,-85.3885,"A. hybrid"
"JT168",33.7116,-83.3033,"A. hybrid"
"JT171",32.7734,-81.9227,"A. hybrid"
"JT172",32.9401,-81.4955,"A. hybrid"
"JT175",34.5031,-81.8121,"A. hybrid"
"JT176",34.5028,-81.8115,"A. hybrid"
"JT178",34.8649,-82.419,"A. hybrid"
