Model selection results for subset: 474aaabf0b9397a1eb26fd523aa721dc
Subset alignment stored here: ./analysis/phylofiles/474aaabf0b9397a1eb26fd523aa721dc.phy
This subset contains the following data_blocks: matk
Number of columns in subset: 2419
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TVMEF+G         | 5               | -6789.2         | 13588.4          | 13588.4         | 13617.4        
K80+G           | 2               | -6792.77        | 13589.6          | 13589.5         | 13601.1        
SYM+G           | 6               | -6789.2         | 13590.4          | 13590.4         | 13625.1        
TVMEF+I+G       | 6               | -6789.23        | 13590.5          | 13590.5         | 13625.2        
TRNEF+G         | 3               | -6792.74        | 13591.5          | 13591.5         | 13608.8        
K81+G           | 3               | -6792.74        | 13591.5          | 13591.5         | 13608.9        
K80+I+G         | 3               | -6792.79        | 13591.6          | 13591.6         | 13609.0        
SYM+I+G         | 7               | -6789.22        | 13592.5          | 13592.4         | 13633.0        
TIMEF+G         | 4               | -6792.7         | 13593.4          | 13593.4         | 13616.6        
TRNEF+I+G       | 4               | -6792.75        | 13593.5          | 13593.5         | 13616.7        
K81+I+G         | 4               | -6792.76        | 13593.5          | 13593.5         | 13616.7        
TIMEF+I+G       | 5               | -6792.72        | 13595.5          | 13595.4         | 13624.4        
HKY+G           | 5               | -6793.06        | 13596.1          | 13596.1         | 13625.1        
K81UF+G         | 6               | -6793.05        | 13598.1          | 13598.1         | 13632.8        
TRN+G           | 6               | -6793.06        | 13598.2          | 13598.1         | 13632.9        
HKY+I+G         | 6               | -6793.08        | 13598.2          | 13598.2         | 13632.9        
TIM+G           | 7               | -6793.05        | 13600.1          | 13600.1         | 13640.6        
K81UF+I+G       | 7               | -6793.07        | 13600.2          | 13600.1         | 13640.7        
TRN+I+G         | 7               | -6793.07        | 13600.2          | 13600.1         | 13640.7        
TVM+G           | 8               | -6792.56        | 13601.2          | 13601.1         | 13647.5        
TIM+I+G         | 8               | -6793.06        | 13602.2          | 13602.1         | 13648.5        
GTR+G           | 9               | -6792.56        | 13603.2          | 13603.1         | 13655.2        
TVM+I+G         | 9               | -6792.58        | 13603.2          | 13603.2         | 13655.3        
GTR+I+G         | 10              | -6792.59        | 13605.3          | 13605.2         | 13663.1        
JC+G            | 1               | -6837.22        | 13676.4          | 13676.4         | 13682.2        
JC+I+G          | 2               | -6837.23        | 13678.5          | 13678.5         | 13690.0        
F81+G           | 4               | -6841.95        | 13691.9          | 13691.9         | 13715.1        
F81+I+G         | 5               | -6841.97        | 13694.0          | 13693.9         | 13722.9        
TVMEF+I         | 5               | -6951.02        | 13912.1          | 13912.0         | 13941.0        
SYM+I           | 6               | -6950.96        | 13913.9          | 13913.9         | 13948.7        
TRN+I           | 6               | -6953.62        | 13919.3          | 13919.2         | 13954.0        
HKY+I           | 5               | -6955.28        | 13920.6          | 13920.6         | 13949.5        
GTR+I           | 9               | -6951.45        | 13921.0          | 13920.9         | 13973.0        
TIM+I           | 7               | -6953.6         | 13921.2          | 13921.2         | 13961.7        
TVM+I           | 8               | -6952.79        | 13921.6          | 13921.6         | 13967.9        
K81UF+I         | 6               | -6955.26        | 13922.5          | 13922.5         | 13957.3        
K80+I           | 2               | -6959.37        | 13922.7          | 13922.7         | 13934.3        
TRNEF+I         | 3               | -6959.29        | 13924.6          | 13924.6         | 13942.0        
K81+I           | 3               | -6959.36        | 13924.7          | 13924.7         | 13942.1        
TIMEF+I         | 4               | -6959.28        | 13926.6          | 13926.6         | 13949.7        
JC+I            | 1               | -7005.98        | 14014.0          | 14014.0         | 14019.8        
F81+I           | 4               | -7006.54        | 14021.1          | 14021.1         | 14044.2        
GTR             | 8               | -8463.89        | 16943.8          | 16943.8         | 16990.1        
TIM             | 6               | -8472.74        | 16957.5          | 16957.5         | 16992.2        
TRN             | 5               | -8474.23        | 16958.5          | 16958.5         | 16987.4        
TVM             | 7               | -8479.02        | 16972.1          | 16972.0         | 17012.6        
K81UF           | 5               | -8487.89        | 16985.8          | 16985.8         | 17014.7        
HKY             | 4               | -8489.37        | 16986.7          | 16986.7         | 17009.9        
TRNEF           | 2               | -8513.54        | 17031.1          | 17031.1         | 17042.7        
TIMEF           | 3               | -8513.51        | 17033.0          | 17033.0         | 17050.4        
SYM             | 5               | -8512.15        | 17034.3          | 17034.3         | 17063.3        
K80             | 1               | -8521.83        | 17045.7          | 17045.7         | 17051.4        
K81             | 2               | -8521.8         | 17047.6          | 17047.6         | 17059.2        
TVMEF           | 4               | -8520.41        | 17048.8          | 17048.8         | 17072.0        
F81             | 3               | -8537.93        | 17081.9          | 17081.9         | 17099.2        
JC              | 0               | -8560.12        | 17120.2          | 17120.2         | 17120.2        
