Haplo,Appalachiana,Gigantea,Hybrid,Tecta,Unknown,Grand Total,pApp,pGig,pHyb,pTec,pUnk
cp_Aapp,1,,,,,1,1.00,0.00,0.00,0.00,0.00
cp_Agig,,15,1,,,16,0.00,0.94,0.06,0.00,0.00
cp_Atecta,,,,1,,1,0.00,0.00,0.00,1.00,0.00
cp_Haplo1,,,1,3,7,11,0.00,0.00,0.09,0.27,0.64
cp_Haplo10,1,,,,,1,1.00,0.00,0.00,0.00,0.00
cp_Haplo11,,,,2,,2,0.00,0.00,0.00,1.00,0.00
cp_Haplo12,2,,1,1,,4,0.50,0.00,0.25,0.25,0.00
cp_Haplo13,,,1,,,1,0.00,0.00,1.00,0.00,0.00
cp_Haplo14,,,1,,,1,0.00,0.00,1.00,0.00,0.00
cp_Haplo15,,1,,,,1,0.00,1.00,0.00,0.00,0.00
cp_Haplo16,,1,,,,1,0.00,1.00,0.00,0.00,0.00
cp_Haplo17,,1,,,,1,0.00,1.00,0.00,0.00,0.00
cp_Haplo18,,,1,,,1,0.00,0.00,1.00,0.00,0.00
cp_Haplo19,,,1,,,1,0.00,0.00,1.00,0.00,0.00
cp_Haplo2,,,,,14,14,0.00,0.00,0.00,0.00,1.00
cp_Haplo20,,,1,1,,2,0.00,0.00,0.50,0.50,0.00
cp_Haplo21,,6,,,,6,0.00,1.00,0.00,0.00,0.00
cp_Haplo22,1,,,,,1,1.00,0.00,0.00,0.00,0.00
cp_Haplo3,,,,,4,4,0.00,0.00,0.00,0.00,1.00
cp_Haplo4,,,,,1,1,0.00,0.00,0.00,0.00,1.00
cp_Haplo5,,,,,1,1,0.00,0.00,0.00,0.00,1.00
cp_Haplo6,,,,,1,1,0.00,0.00,0.00,0.00,1.00
cp_Haplo7,,6,,,,6,0.00,1.00,0.00,0.00,0.00
cp_Haplo8,5,,1,,,6,0.83,0.00,0.17,0.00,0.00
cp_Haplo9,1,,,,,1,1.00,0.00,0.00,0.00,0.00
cp_Pedulis,,,,,,1,0.00,0.00,0.00,0.00,0.00
LFY_Haplo1,,,2,,11,13,0.00,0.00,0.15,0.00,0.85
LFY_Haplo10,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo11,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo12,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo13,,,,,2,2,0.00,0.00,0.00,0.00,1.00
LFY_Haplo14,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo15,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo16,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo17,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo18,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo19,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo2,,,,,2,2,0.00,0.00,0.00,0.00,1.00
LFY_Haplo20,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo21,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo22,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo23,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo24,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo25,,,,,3,3,0.00,0.00,0.00,0.00,1.00
LFY_Haplo26,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo27,,,2,,2,4,0.00,0.00,0.50,0.00,0.50
LFY_Haplo28,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo29,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo3,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo30,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo31,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo32,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo33,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo34,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo35,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo36,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo37,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo38,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo39,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo4,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo40,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo41,3,,,4,,7,0.43,0.00,0.00,0.57,0.00
LFY_Haplo42,8,,,,,8,1.00,0.00,0.00,0.00,0.00
LFY_Haplo43,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo44,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo45,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo46,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo47,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo48,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo49,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo5,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo50,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo51,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo52,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo53,,,4,,,4,0.00,0.00,1.00,0.00,0.00
LFY_Haplo54,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo55,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo56,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo57,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo58,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo59,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo6,,,,,1,1,0.00,0.00,0.00,0.00,1.00
LFY_Haplo60,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo61,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo62,1,,,,,1,1.00,0.00,0.00,0.00,0.00
LFY_Haplo63,,9,,,,9,0.00,1.00,0.00,0.00,0.00
LFY_Haplo64,,1,,,,1,0.00,1.00,0.00,0.00,0.00
LFY_Haplo65,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo66,,,,1,,1,0.00,0.00,0.00,1.00,0.00
LFY_Haplo67,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo68,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo69,,,1,,,1,0.00,0.00,1.00,0.00,0.00
LFY_Haplo7,,,,,2,2,0.00,0.00,0.00,0.00,1.00
LFY_Haplo70,,2,,,,2,0.00,1.00,0.00,0.00,0.00
LFY_Haplo71,,,1,,,1,0.00,0.00,1.00,0.00,0.00
